obs_no,study,pub_reference,pub_year,loc_citystate,lat,long,exp_type,reps,aridity_index,om_pct,soil_type,ph,cropsys_tillage,msmt_season,msmt_planting,weed_group,cc_spec,cc_type,cc_plmo,cc_plmo2,cc_pldom,cc_plden_kgha,cc_plmeth,cc_termmo,cc_termmo2,cc_termdom,cc_termmeth,cc_termmeth2,crop_follow,crop_plmo,crop_plmo2,crop_pldom,cc_biomass_kgha,cc_biomass_se,cc_wden_se,cc_wden_se,ctl_wden,ctl_wden_se,cc_wbio,cc_wbio_se,ctl_wbio,ctl_wbio_se,cc_cropyield_kgha,cc_cropyield_se,ctl_cropyield_kgha,ctl_cropyield_se
106,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,split plot,4,0.8849,NR,silt loam,NR,Y,summer,after,summer annual,hairy vetch,legume,Aug,8,28,45,drilled,Jun,6,5,herbicide,H,corn,May,5,5,3620,NR,19,NR,34,NR,137,NR,152,NR,3910,NR,4130,NR
107,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,split plot,4,0.8849,NR,silt loam,NR,Y,summer,after,summer annual,hairy vetch,legume,Aug,8,28,45,drilled,Jun,6,5,rolling,M,corn,May,5,5,3640,NR,6,NR,2,NR,39,NR,12,NR,2410,NR,3300,NR
108,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,split plot,4,0.8849,NR,silt loam,NR,Y,summer,after,summer annual,hairy vetch,legume,Aug,8,28,45,drilled,Jun,6,5,chopping,M,corn,May,5,5,3290,NR,12,NR,2,NR,147,NR,12,NR,2340,NR,3300,NR
109,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,split plot,4,0.8849,NR,silt loam,NR,Y,summer,after,summer annual,hairy vetch,legume,Aug,8,28,45,drilled,Jun,6,5,mowing,M,corn,May,5,5,3130,NR,10,NR,2,NR,71,NR,12,NR,1670,NR,3300,NR
110,9,Hoffman et al. 1993,1993,"Columbus, OH",39.9612,-82.9988,split plot,4,0.8849,NR,silt loam,NR,Y,summer,after,summer annual,hairy vetch,legume,Aug,8,28,45,drilled,Jun,6,6,herbicide,H,corn,May,5,6,3720,NR,4,NR,2,NR,35,NR,12,NR,2830,NR,3300,NR
111,10,"Mock et al., 2012",2012,"West Lafayette, IN",40.4259,-86.9081,RCBD split plot,6,0.8955,3,silt loam,6.3,N,fall,after,winter annual,winter wheat,grass,Oct,10,NR,67,drilled,May,5,1,herbicide,H,corn/soy,May,5,10,NR,NR,149,NR,9,NR,NR,NR,NR,NR,NR,NR,NR,NR
112,10,"Mock et al., 2012",2012,"West Lafayette, IN",40.4259,-86.9081,RCBD split plot,6,0.8955,3,silt loam,6.3,N,fall,after,winter annual,rye grass,grass,Oct,10,NR,34,broadcast,May,5,2,herbicide,H,corn/soy,May,5,10,NR,NR,332,NR,9,NR,NR,NR,NR,NR,NR,NR,NR,NR
113,10,"Mock et al., 2012",2012,"Vincennes, IN",38.6773,-87.5286,RCBD split plot,6,0.9642,1,silt loam,6.9,N,fall,after,winter annual,winter wheat,grass,Oct,10,NR,67,drilled,May,5,3,herbicide,H,corn/soy,May,5,10,NR,NR,377,NR,77,NR,NR,NR,NR,NR,NR,NR,NR,NR
114,10,"Mock et al., 2012",2012,"Vincennes, IN",38.6773,-87.5286,RCBD split plot,6,0.9642,1,silt loam,6.9,N,fall,after,winter annual,rye grass,grass,Oct,10,NR,34,broadcast,May,5,4,herbicide,H,corn/soy,May,5,10,NR,NR,393,NR,77,NR,NR,NR,NR,NR,NR,NR,NR,NR
115,11,"Werle et al., 2017",2017,"North Platte, NE",41.132511,-100.763969,RCBD,3,0.4388,NR,silt loam,NR,Y,spring,before,winter annual,rye,grass,Oct,10,17,67,drilled,Apr,4,18,herbicide,H,corn,NR,NR,NR,3766,201,17,5,196,25,10,4,115,11,NR,NR,NR,NR
116,11,"Werle et al., 2017",2017,"North Platte, NE",41.132511,-100.763969,RCBD,3,0.4388,NR,sandy loam,NR,Y,spring,before,winter annual,rye,grass,Sep,9,20,94.1,drilled,Apr,4,18,herbicide,H,corn,NR,NR,NR,4081,322,NR,NR,NR,NR,19,5,407,39,NR,NR,NR,NR
117,12,"Crawford et al., 2018",2018,"UrbaNR, IL",40.076623,-88.239866,RCBD split-plot,3,0.9116,3.4,silt loam,5.9,N,summer,after,summer annual,radish,brassica,NR,NR,NR,NR,drilled,NR,NR,NR,winterkill,W,soybean,NR,NR,NR,438,NR,113.4,NR,96,NR,1164,NR,1554,NR,NR,NR,NR,NR
118,12,"Crawford et al., 2018",2018,"UrbaNR, IL",40.076623,-88.239866,RCBD split-plot,3,0.9116,3.4,silt loam,5.9,N,summer,after,summer annual,canola,brassica,NR,NR,NR,NR,drilled,NR,NR,NR,herbicide,H,soybean,NR,NR,NR,1205,NR,146.2,NR,96,NR,983,NR,1554,NR,NR,NR,NR,NR
119,12,"Crawford et al., 2018",2018,"UrbaNR, IL",40.076623,-88.239866,RCBD split-plot,3,0.9116,3.4,silt loam,5.9,N,summer,after,summer annual,rye,grass,NR,NR,NR,NR,drilled,NR,NR,NR,herbicide,H,soybean,NR,NR,NR,2375,NR,77.7,NR,96,NR,226,NR,1554,NR,NR,NR,NR,NR
120,12,"Crawford et al., 2018",2018,"UrbaNR, IL",40.076623,-88.239866,RCBD split-plot,3,0.9116,3.4,silt loam,5.9,N,summer,after,summer annual,canola,brassica,NR,NR,NR,NR,drilled,NR,NR,NR,herbicide,H,soybean,NR,NR,NR,2360,NR,170.8,NR,96,NR,548,NR,1554,NR,NR,NR,NR,NR
121,12,"Crawford et al., 2018",2018,"UrbaNR, IL",40.076623,-88.239866,RCBD split-plot,3,0.9116,3.4,silt loam,5.9,N,summer,after,summer annual,rye,grass,NR,NR,NR,NR,drilled,NR,NR,NR,herbicide,H,soybean,NR,NR,NR,9003,NR,7.3,NR,96,NR,104,NR,1554,NR,NR,NR,NR,NR
122,13,"Cornelius and Bradley,",2017,"Columbia, Missouri",38.89805556,-92.37055556,RCBD,4,0.8625,2.2,silt loam,6.4,N,spring,before,summer annual,austrian winter pea,legume,Sep,9,NR,56,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,223,NR,1307,NR,987,NR,NR,NR,NR,NR,NR,NR,NR,NR
123,13,"Cornelius and Bradley,",2017,"Columbia, Missouri",38.89805556,-92.37055556,RCBD,4,0.8625,2.2,silt loam,6.4,N,spring,before,summer annual,hairy vetch,legume,Sep,9,NR,34,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,815,NR,1282,NR,987,NR,NR,NR,NR,NR,NR,NR,NR,NR
124,13,"Cornelius and Bradley,",2017,"Columbia, Missouri",38.89805556,-92.37055556,RCBD,4,0.8625,2.2,silt loam,6.4,N,spring,before,summer annual,crimson clover,legume,Sep,9,NR,34,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,436,NR,1268,NR,987,NR,NR,NR,NR,NR,NR,NR,NR,NR
125,13,"Cornelius and Bradley,",2017,"Columbia, Missouri",38.89805556,-92.37055556,RCBD,4,0.8625,2.2,silt loam,6.4,N,spring,before,summer annual,oilseed radish,brassica,Sep,9,NR,9,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,0,NR,1267,NR,987,NR,NR,NR,NR,NR,NR,NR,NR,NR
126,13,"Cornelius and Bradley,",2017,"Columbia, Missouri",38.89805556,-92.37055556,RCBD,4,0.8625,2.2,silt loam,6.4,N,spring,before,summer annual,winter oat,grass,Sep,9,NR,78,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,135,NR,1218,NR,987,NR,NR,NR,NR,NR,NR,NR,NR,NR
127,13,"Cornelius and Bradley,",2017,"Moberly, Missouri",39.418369,-92.438237,RCBD,4,0.916,2.2,silt loam,6.4,N,spring,before,summer annual,italian ryegrass,grass,Sep,9,NR,28,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,953,NR,1076,NR,987,NR,NR,NR,NR,NR,NR,NR,NR,NR
128,13,"Cornelius and Bradley,",2017,"Moberly, Missouri",39.418369,-92.438237,RCBD,4,0.916,2.2,silt loam,6.4,N,spring,before,summer annual,cereal rye + hairy vetch,mix,Sep,9,NR,112,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,2774,NR,925,NR,987,NR,NR,NR,NR,NR,NR,NR,NR,NR
129,13,"Cornelius and Bradley,",2017,"Moberly, Missouri",39.418369,-92.438237,RCBD,4,0.916,2.2,silt loam,6.4,N,spring,before,summer annual,cereal rye,grass,Sep,9,NR,123,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,2291,NR,705,NR,987,NR,NR,NR,NR,NR,NR,NR,NR,NR
130,13,"Cornelius and Bradley,",2017,"Moberly, Missouri",39.418369,-92.438237,RCBD,4,0.916,2.2,silt loam,6.4,N,spring,before,summer annual,winter wheat,grass,Sep,9,NR,135,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,1424,NR,1132,NR,987,NR,NR,NR,NR,NR,NR,NR,NR,NR
131,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.5,silt loam,7,N,summer,after,summer annual,winter wheat,grass,Oct,10,NR,100,drilled,May,5,NR,herbicide,H,corn,May,5,NR,NR,NR,NR,NR,NR,NR,330.1,NR,380,NR,NR,NR,NR,NR
132,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.5,silt loam,7,N,summer,after,summer annual,winter wheat,grass,Oct,10,NR,100,drilled,May,5,NR,herbicide,H,corn,May,5,NR,NR,NR,NR,NR,NR,NR,194.6,NR,328.1,NR,NR,NR,NR,NR
133,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.5,silt loam,7,N,summer,after,summer annual,winter wheat,grass,Oct,10,NR,100,drilled,May,5,NR,herbicide,H,corn,May,5,NR,NR,NR,NR,NR,NR,NR,188.5,NR,206.7,NR,NR,NR,NR,NR
134,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.7,silt loam,8.3,N,summer,after,summer annual,winter wheat,grass,Oct,10,NR,100,drilled,May,5,NR,herbicide,H,corn,May,5,NR,NR,NR,NR,NR,NR,NR,206,NR,290,NR,NR,NR,NR,NR
135,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.7,silt loam,8.3,N,summer,after,summer annual,winter wheat,grass,Oct,10,NR,100,drilled,May,5,NR,herbicide,H,corn,May,5,NR,NR,NR,NR,NR,NR,NR,142.4,NR,150.8,NR,NR,NR,NR,NR
136,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.7,silt loam,8.3,N,summer,after,summer annual,winter wheat,grass,Oct,10,NR,100,drilled,May,5,NR,herbicide,H,corn,May,5,NR,NR,NR,NR,NR,NR,NR,571.5,NR,599.2,NR,NR,NR,NR,NR
137,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.6,silt loam,8.3,N,summer,after,summer annual,winter wheat,grass,Oct,10,NR,100,drilled,May,5,NR,herbicide,H,corn,May,5,NR,NR,NR,NR,NR,NR,NR,57.7,NR,24.2,NR,NR,NR,NR,NR
138,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.6,silt loam,8.3,N,summer,after,summer annual,winter wheat,grass,Oct,10,NR,100,drilled,May,5,NR,herbicide,H,corn,May,5,NR,NR,NR,NR,NR,NR,NR,603.2,NR,869.1,NR,NR,NR,NR,NR
139,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",37.989331,-100.814511,RCBD,5,0.3698,1.6,silt loam,8.3,N,summer,after,summer annual,winter wheat,grass,Oct,10,NR,100,drilled,May,5,NR,herbicide,H,corn,May,5,NR,NR,NR,NR,NR,NR,NR,603.1,NR,691.4,NR,NR,NR,NR,NR
140,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,split plot,3,0.7149,2.6,silty clay loam,6.3,N,summer,after,summer annual,barley,grass,Sep,9,7,78.4,drilled,Jun,6,6,herbicide,H,soybean,Jun,6,7,3170,NR,NR,NR,NR,NR,27.6,NR,68,NR,1630,NR,2060,NR
141,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,split plot,3,0.7149,2.6,silty clay loam,6.3,N,summer,after,summer annual,rye,grass,Sep,9,7,78.4,drilled,Jun,6,6,herbicide,H,soybean,Jun,6,7,6310,NR,NR,NR,NR,NR,30.9,NR,68,NR,1540,NR,2060,NR
142,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,split plot,3,0.7149,2.6,silty clay loam,6.3,N,summer,after,summer annual,triticale,grass,Sep,9,7,156.4,drilled,Jun,6,6,herbicide,H,soybean,Jun,6,7,7160,NR,NR,NR,NR,NR,32.1,NR,68,NR,1800,NR,2060,NR
143,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,split plot,3,0.7149,2.6,silty clay loam,6.3,N,summer,after,summer annual,wheat,grass,Sep,9,7,78.4,drilled,Jun,6,6,herbicide,H,soybean,Jun,6,7,6710,NR,NR,NR,NR,NR,14.6,NR,68,NR,1920,NR,2060,NR
144,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,split plot,3,0.7149,2.8,silty clay loam,5.8,N,summer,after,summer annual,barley,grass,Sep,9,7,78.4,drilled,May,5,23,herbicide,H,soybean,May,5,21,130,NR,78,NR,71,NR,13.4,NR,21.4,NR,1480,NR,1200,NR
145,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,split plot,3,0.7149,2.8,silty clay loam,5.8,N,summer,after,summer annual,rye,grass,Sep,9,7,78.4,drilled,May,5,23,herbicide,H,soybean,May,5,21,2890,NR,74,NR,71,NR,0.7,NR,21.4,NR,2190,NR,1200,NR
146,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,split plot,3,0.7149,2.8,silty clay loam,5.8,N,summer,after,summer annual,triticale,grass,Sep,9,7,78.4,drilled,May,5,23,herbicide,H,soybean,May,5,21,750,NR,73,NR,71,NR,9.6,NR,21.4,NR,1440,NR,1200,NR
147,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,split plot,3,0.7149,2.8,silty clay loam,5.8,N,summer,after,summer annual,wheat,grass,Sep,9,7,78.4,drilled,May,5,23,herbicide,H,soybean,May,5,21,2170,NR,90,NR,71,NR,3.5,NR,21.4,NR,1960,NR,1200,NR
148,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",41.145575,-96.498209,split plot,3,0.7149,2.8,silty clay loam,5.8,N,summer,after,summer annual,vetch,legume,Sep,9,7,35.8,drilled,May,5,23,herbicide,H,soybean,May,5,21,650,NR,99,NR,71,NR,8.7,NR,21.4,NR,1700,NR,1200,NR
149,13,"Cornelius and Bradley,",2017,"Columbia, Missouri",38.89805556,-92.37055556,RCBD,4,NR,2.2,silt loam,6.4,N,spring,before,winter annual,austrian winter pea,legume,Sep,9,NR,56,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,NR,NR,156,NR,238,NR,NR,NR,NR,NR,NR,NR,NR,NR
150,13,"Cornelius and Bradley,",2017,"Columbia, Missouri",38.89805556,-92.37055556,RCBD,4,NR,2.2,silt loam,6.4,N,spring,before,winter annual,hairy vetch,legume,Sep,9,NR,34,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,NR,NR,166,NR,238,NR,NR,NR,NR,NR,NR,NR,NR,NR
151,13,"Cornelius and Bradley,",2017,"Columbia, Missouri",38.89805556,-92.37055556,RCBD,4,NR,2.2,silt loam,6.4,N,spring,before,winter annual,crimson clover,legume,Sep,9,NR,34,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,NR,NR,181,NR,238,NR,NR,NR,NR,NR,NR,NR,NR,NR
152,13,"Cornelius and Bradley,",2017,"Columbia, Missouri",38.89805556,-92.37055556,RCBD,4,NR,2.2,silt loam,6.4,N,spring,before,winter annual,oilseed radish,brassica,Sep,9,NR,9,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,NR,NR,184,NR,238,NR,NR,NR,NR,NR,NR,NR,NR,NR
153,13,"Cornelius and Bradley,",2017,"Columbia, Missouri",38.89805556,-92.37055556,RCBD,4,NR,2.2,silt loam,6.4,N,spring,before,winter annual,winter oat,grass,Sep,9,NR,78,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,NR,NR,151,NR,238,NR,NR,NR,NR,NR,NR,NR,NR,NR
154,13,"Cornelius and Bradley,",2017,"Moberly, Missouri",39.418369,-92.438237,RCBD,4,NR,2.2,silt loam,6.4,N,spring,before,winter annual,italian ryegrass,grass,Sep,9,NR,28,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,NR,NR,111,NR,238,NR,NR,NR,NR,NR,NR,NR,NR,NR
155,13,"Cornelius and Bradley,",2017,"Moberly, Missouri",39.418369,-92.438237,RCBD,4,NR,2.2,silt loam,6.4,N,spring,before,winter annual,cereal rye + hairy vetch,mix,Sep,9,NR,112,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,NR,NR,74,NR,238,NR,NR,NR,NR,NR,NR,NR,NR,NR
156,13,"Cornelius and Bradley,",2017,"Moberly, Missouri",39.418369,-92.438237,RCBD,4,NR,2.2,silt loam,6.4,N,spring,before,winter annual,cereal rye,grass,Sep,9,NR,123,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,NR,NR,67,NR,238,NR,NR,NR,NR,NR,NR,NR,NR,NR
157,13,"Cornelius and Bradley,",2017,"Moberly, Missouri",39.418369,-92.438237,RCBD,4,NR,2.2,silt loam,6.4,N,spring,before,winter annual,winter wheat,grass,Sep,9,NR,135,drilled,Apr,4,30,herbicide,H,soybean,NR,NR,NR,NR,NR,116,NR,238,NR,NR,NR,NR,NR,NR,NR,NR,NR
