obs_no,entered_by,study,pub_reference,pub_year,loc_citystate,loc_state,lat,long,exp_type,reps,MAP,MAT,aridity_index,OM_pct,soil_type,pH,cc_spec,cc_type,cropsys_tillage,cc_tillage,time,cc_pDATE,cc_pDATE_DOY,cc_pMNTH,cc_pMNTH2,cc_pDEN_kgha,cc_pMETH,cc_termDATE,cc_termMNTH,CC_termDATE_DOY,cc_termMETH,cc_termMETH2,crop_follow,crop_pDATE,crop_pMNTH,cc_bio_kgha,cc_bmSE,cc_wden_numm2,cc_wdenSE,ctl_wden_numm2,ctl_wdenSE,cc_wbio_gm2,cc_wbioSE,ctl_wbio_gm2,ctl_wbioSE,cc_yield_kgha,cc_yieldSE,ctl_yield_kgha,ctl_yieldSE,NOTES
1,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,rye,grass,N,N,summer,.,.,Sept,9,33,drilled,5/13/2005,May,133,herbicide,H,soybean,5/24/2005,.,7100,.,.,.,.,.,1652,.,2976,.,2072,.,2470,.,Unsure of where weed biomass data are taken from?
2,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,vetch,legume,N,N,summer,.,.,Sept,9,112,drilled,5/13/2005,May,134,herbicide,H,soybean,5/24/2005,.,3500,.,.,.,.,.,4361,.,2976,.,2075,.,2470,.,There is a Davis data set in dropbox maybe Gina reached out to Adam Davis?
3,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,rye,grass,N,N,summer,.,.,Sept,9,33,drilled,5/17/2005,May,137,roller crimper,M,soybean,5/24/2005,.,7100,.,.,.,.,.,1146,.,5198,.,2387,.,1854,.,Could pool over years or take last year
4,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,vetch,legume,N,N,summer,.,.,Sept,9,112,drilled,5/17/2005,May,137,roller crimper,M,soybean,5/24/2005,.,3500,.,.,.,.,.,2766,.,5198,.,391,.,1854,.,
5,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,rye,grass,N,N,summer,.,.,Sept,9,33,drilled,5/12/2006,May,132,herbicide,H,soybean,6/2/2006,.,6000,.,.,.,.,.,403,.,1609,.,3361,.,3372,.,
6,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,vetch,legume,N,N,summer,.,.,Sept,9,112,drilled,5/12/2006,May,132,herbicide,H,soybean,6/2/2006,.,6200,.,.,.,.,.,2423,.,1609,.,2790,.,3372,.,intro states that investigating weed control w/ ccs is an explicit goal of study
7,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,rye,grass,N,N,summer,.,.,Sept,9,33,drilled,5/22/2006,May,142,roller crimper,M,soybean,6/2/2006,.,6000,.,.,.,.,.,291,.,1714,.,2990,.,2300,.,they had to plant weeds before this study - foxtail and waterhemp
8,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,vetch,legume,N,N,summer,.,.,Sept,9,112,drilled,5/22/2006,May,142,roller crimper,M,soybean,6/2/2006,.,6200,.,.,.,.,.,2388,.,1714,.,2838,.,2300,.,
9,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,rye,grass,N,N,summer,.,.,Sept,9,33,drilled,5/11/2007,May,131,herbicide,H,soybean,5/29/2007,.,6000,.,.,.,.,.,2860,.,2113,.,2304,.,2011,.,
10,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,vetch,legume,N,N,summer,.,.,Sept,9,112,drilled,5/11/2007,May,131,herbicide,H,soybean,5/29/2007,.,6300,.,.,.,.,.,2857,.,2113,.,1962,.,2011,.,
11,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,rye,grass,N,N,summer,.,.,Sept,9,33,drilled,5/22/2007,May,149,roller crimper,M,soybean,5/29/2007,.,6000,.,.,.,.,.,761,.,4250,.,1660,.,1266,.,
12,GN,1,Davis (2010),2010,"Urbana, IL",IL,40.110588,-88.207268,split-split plot,4,1007,33.68,0.912,2.4,silt loam,7.2,vetch,legume,N,N,summer,.,.,Sept,9,112,drilled,5/22/2007,May,149,roller crimper,M,soybean,5/29/2007,.,6300,.,.,.,.,.,1998,.,4250,.,1767,.,1266,.,
13,GN,2,Bernstein et al. (2011),2011,"Arlington, WI",WI,43.3375,-89.37376,RCBD,4,852,26.66,0.8539,4.15,silt loam,6.35,cereal rye,grass,Y,N,summer,.,.,Oct,10,180,drilled,.,June,.,mowed,M,soybean,.,May,939,.,.,.,.,.,5,.,26,.,2505,.,3618,.,Weed management explicit in objectives. Pooling possible (see Table 4 of paper)
14,GN,2,Bernstein et al. (2011),2011,"Arlington, WI",WI,43.3375,-89.37376,RCBD,4,852,26.66,0.8539,4.15,silt loam,6.35,cereal rye,grass,Y,N,summer,.,.,Oct,10,180,drilled,.,June,.,roller crimper,M,soybean,.,May,604,.,.,.,.,.,7,.,26,.,2885,.,3618,.,"I.e. comparison 1,3,5 (all mowed) and 2,4 (crimped) are of interest not planting date of main crop"
15,GN,2,Bernstein et al. (2011),2011,"Arlington, WI",WI,43.3375,-89.37376,RCBD,4,852,26.66,0.8539,4.15,silt loam,6.35,cereal rye,grass,Y,N,summer,.,.,Oct,10,180,drilled,.,June,.,mowed,M,soybean,.,May,1212,.,.,.,.,.,5,.,26,.,2944,.,3618,.,
16,GN,2,Bernstein et al. (2011),2011,"Arlington, WI",WI,43.3375,-89.37376,RCBD,4,852,26.66,0.8539,4.15,silt loam,6.35,cereal rye,grass,Y,N,summer,.,.,Oct,10,180,drilled,.,June,.,roller crimper,M,soybean,.,June,186,.,.,.,.,.,6,.,26,.,2751,.,3618,.,
17,GN,2,Bernstein et al. (2011),2011,"Arlington, WI",WI,43.3375,-89.37376,RCBD,4,852,26.66,0.8539,4.15,silt loam,6.35,cereal rye,grass,Y,N,summer,.,.,Oct,10,180,drilled,.,June,.,mowed,M,soybean,.,June,345,.,.,,.,,10,.,26,.,2599,.,3618,.,
18,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766,22.84,0.8636,.,silt loam,.,cereal rye,grass,N,N,summer,10/18/2001,291,Oct,10,125,drilled,5/1/2002,May,121,herbicide 2x,H,soybean,5/14/2002,May,375,.,2.5,,8.8,,45.3,,60.1,,2890,.,2570,,Weed suppression appears secondary from their objectives. Pooling can occur over cc_termMETH (column AC) and year - exp trt: 1 / control trt: 17
19,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766,22.84,0.8636,.,silt loam,.,cereal rye,grass,N,N,summer,10/18/2001,291,Oct,10,125,drilled,5/8/2002,May,128,herbicide 2x,H,soybean,5/14/2002,May,851,.,2.3,,8.8,,26.8,,60.1,,2900,.,2570,,"I.e. we could have 3 points for this study M, H and D - exp trt: 2 / control trt: 17"
20,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766,22.84,0.8636,.,silt loam,.,cereal rye,grass,N,N,summer,10/18/2001,291,Oct,10,125,drilled,5/20/2002,May,140,herbicide 2x,H,soybean,5/14/2002,May,2185,.,1.6,,8.8,,29.2,,60.1,,3310,.,2570,,Comparisons are (1-3 / 17) (4-9 / 16) (18 / 22) - exp trt: 3 / control trt: 17
21,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766,22.84,0.8636,.,silt loam,.,cereal rye,grass,N,N,summer,10/18/2001,291,Oct,10,125,drilled,5/1/2002,May,121,herbicide 1x,H,soybean,5/14/2002,May,375,.,56.6,,6.4,,344.8,,64.4,,300,.,2840,,exp trt: 4 / control trt: 16
22,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766,22.84,0.8636,.,silt loam,.,cereal rye,grass,N,N,summer,10/18/2001,291,Oct,10,125,drilled,5/8/2002,May,128,herbicide 1x,H,soybean,5/14/2002,May,851,.,37.4,,6.4,,221.3,,64.4,,780,.,2840,,exp trt: 5 / control trt: 16
23,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766,22.84,0.8636,.,silt loam,.,cereal rye,grass,N,N,summer,10/18/2001,291,Oct,10,125,drilled,5/20/2002,May,140,herbicide 1x,H,soybean,5/14/2002,May,2185,.,14.4,,6.4,,146.3,,64.4,,1060,.,2840,,exp trt: 6 / control trt: 16
24,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766,22.84,0.8636,.,silt loam,.,cereal rye,grass,N,N,summer,10/18/2001,291,Oct,10,125,drilled,5/1/2002,May,121,herbicide  1x + mowing,D,soybean,5/14/2002,May,375,.,12.1,,6.4,,47.8,,64.4,,2130,.,2840,,exp trt: 7 / control trt: 16
25,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766,22.84,0.8636,.,silt loam,.,cereal rye,grass,N,N,summer,10/18/2001,291,Oct,10,125,drilled,5/8/2002,May,128,herbicide  1x + mowing,D,soybean,5/14/2002,May,851,.,4.1,,6.4,,73.1,,64.4,,2690,.,2840,,exp trt: 8 / control trt: 16
26,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766,22.84,0.8636,.,silt loam,.,cereal rye,grass,N,N,summer,10/18/2001,291,Oct,10,125,drilled,5/20/2002,May,140,herbicide  1x + mowing,D,soybean,5/14/2002,May,2185,.,3.6,,6.4,,20.9,,64.4,,2920,.,2840,,exp trt: 9 / control trt: 16
27,DW,3,"De Bruin et al., 2005",2005,"Waseca, MN",MN,44.0770411,-93.50838429,RCBD,4,766,22.84,0.8636,.,silt loam,.,cereal rye,grass,N,N,summer,10/18/2001,291,Oct,10,125,drilled,5/28/2002,May,148,herbicide 2x,H,soybean,5/30/2002,May,3768,.,2.1,,0.8,,7.5,,1.2,,3140,.,1780,,exp trt: 18 / control trt: 22
28,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901,32.48,0.9202,.,loam,6.7,santiago medic,legume,N,N,spring  ,.,.,Aug,8,13.4,drilled,.,.,.,winter kill,W,corn,5/15/1995,May,3.1,.,53,.,91,.,65.7,.,234,.,.,.,.,.,
29,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901,32.48,0.9202,.,loam,6.7,mogul medic,legume,N,N,spring  ,.,.,Aug,8,15.7,drilled,.,.,.,winter kill,W,corn,5/15/1995,May,5.3,.,29,.,91,.,52.5,.,234,.,.,.,.,.,Can pool over year or take latter year measurements (could reduce to 4 points)
30,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901,32.48,0.9202,.,loam,6.7,red clover,legume,N,N,spring  ,.,.,Aug,8,16.8,drilled,.,.,.,winter kill,W,corn,5/15/1995,May,4.1,.,20.3,.,91,.,51.4,.,234,.,.,.,.,.,"There are three sets of 16 comparisons for summer, winter and perennial weeds, SUM?"
31,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901,32.48,0.9202,.,loam,6.7,berseem clover,legume,N,N,spring  ,.,.,Aug,8,16.8,drilled,.,.,.,herbicide,H,corn,5/15/1995,May,1.9,.,29,.,91,.,46.2,.,234,.,.,.,.,.,"Rotation is Wheat-Corn, do we include? I think it is OK to keep this. Our criteria is that a cc is grown preceding corn/soy"
32,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901,32.48,0.9202,.,loam,6.7,santiago medic,legume,N,N,spring  ,.,.,Aug,8,13.4,drilled,.,.,.,winter kill,W,corn,5/15/1996,May,2.2,.,19.5,.,30.5,.,19.9,.,43,.,.,.,.,.,
33,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901,32.48,0.9202,.,loam,6.7,mogul medic,legume,N,N,spring  ,.,.,Aug,8,15.7,drilled,.,.,.,winter kill,W,corn,5/15/1996,May,1.8,.,39.5,.,30.5,.,35.1,.,43,.,.,.,.,.,weed suppression is in the title - clear objective of this analysis
34,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901,32.48,0.9202,.,loam,6.7,red clover,legume,N,N,spring  ,.,.,Aug,8,16.8,drilled,.,.,.,winter kill,W,corn,5/15/1996,May,1.3,.,17.3,.,30.5,.,12.5,.,43,.,.,.,.,.,Table 1 is weed measurements in early May
35,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901,32.48,0.9202,.,loam,6.7,berseem clover,legume,N,N,spring  ,.,.,Aug,8,16.8,drilled,.,.,.,herbicide,H,corn,5/15/1996,May,NA,.,NA,.,30.5,.,.,.,43,.,.,.,.,.,Table 3 is weed density 60 days after herbicide app
36,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904,32.49,0.9297,.,loam,6.7,santiago medic,legume,N,N,spring  ,.,.,Aug,8,13.4,drilled,.,.,.,winter kill,W,corn,5/15/1995,May,2,.,21,.,26.8,.,70.8,.,124,.,.,.,.,.,This one would be good to discuss in more detail
37,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904,32.49,0.9297,.,loam,6.7,mogul medic,legume,N,N,spring  ,.,.,Aug,8,15.7,drilled,.,.,.,winter kill,W,corn,5/15/1995,May,2.3,.,19.5,.,26.8,.,51.7,.,124,.,.,.,.,.,
38,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904,32.49,0.9297,.,loam,6.7,red clover,legume,N,N,spring  ,.,.,Aug,8,16.8,drilled,.,.,.,winter kill,W,corn,5/15/1995,May,2.2,.,20.5,.,26.8,.,42.4,.,124,.,.,.,.,.,
39,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904,32.49,0.9297,.,loam,6.7,berseem clover,legume,N,N,spring  ,.,.,Aug,8,16.8,drilled,.,.,.,herbicide,H,corn,5/15/1995,May,1.4,.,22.5,.,26.8,.,74.4,.,124,.,.,.,.,.,
40,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904,32.49,0.9297,.,loam,6.7,santiago medic,legume,N,N,spring  ,.,.,Aug,8,13.4,drilled,.,.,.,winter kill,W,corn,5/15/1996,May,2.8,.,29.3,.,81.8,.,9.4,.,76.3,.,.,.,.,.,
41,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904,32.49,0.9297,.,loam,6.7,mogul medic,legume,N,N,spring  ,.,.,Aug,8,15.7,drilled,.,.,.,winter kill,W,corn,5/15/1996,May,2.4,.,57.5,.,81.8,.,41.1,.,76.3,.,.,.,.,.,
42,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904,32.49,0.9297,.,loam,6.7,red clover,legume,N,N,spring  ,.,.,Aug,8,16.8,drilled,.,.,.,winter kill,W,corn,5/15/1996,May,1.6,.,27.8,.,81.8,.,26.3,.,76.3,.,.,.,.,.,
43,DW,4,"Fisk et al., 2001",2001,"Hickory Corners, MI",MI,42.441427,-85.375561,RCBD,4,904,32.49,0.9297,.,loam,6.7,berseem clover,legume,N,N,spring  ,.,.,Aug,8,16.8,drilled,.,.,.,herbicide,H,corn,5/15/1996,May,1.7,.,77.3,.,81.8,.,56.6,.,76.3,.,.,.,.,.,
44,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901,32.48,0.9202,.,loam,6.7,santiago medic,legume,N,N,summer,.,.,Aug,8,13.4,drilled,.,.,.,winter kill,W,corn,5/15/1995,May,3.1,.,4,.,42.1,.,2.2,.,8.6,.,.,.,.,.,
45,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901,32.48,0.9202,.,loam,6.7,mogul medic,legume,N,N,summer,.,.,Aug,8,15.7,drilled,.,.,.,winter kill,W,corn,5/15/1995,May,5.3,.,4.8,.,42.1,.,2.4,.,8.6,.,.,.,.,.,
46,DW,4,"Fisk et al., 2001",2001,"East Landsing, MI",MI,42.4056,-85.4008,RCBD,4,901,32.48,0.9202,.,loam,6.7,red clover,legume,N,N,summer,.,.,Aug,8,16.8,drilled,.,.,.,winter kill,W,corn,5/15/1995,May,4.1,.,46.5,.,42.1,.,2.3,.,8.6,.,.,.,.,.,
