obs_no,entered_by,study,pub_reference,pub_year,loc_citystate,loc_state,lat,long,exp_type,reps,MAP,MAT,aridity_index,OM_pct,soil_type,pH,cc_spec,cc_type,cropsys_tillage,cc_tillage,time,cc_pDATE,cc_pDATE_DOY,cc_pMNTH,cc_pMNTH2,cc_pDEN_kgha,cc_pMETH,cc_termDATE,cc_termMNTH,CC_termDATE_DOY,cc_termMETH,cc_termMETH2,crop_follow,crop_pDATE,crop_pMNTH,cc_bio_kgha,cc_bmSE,cc_wden_numm2,cc_wdenSE,ctl_wden_numm2,ctl_wdenSE,cc_wbio_gm2,cc_wbioSE,ctl_wbio_gm2,ctl_wbioSE,cc_yield_kgha,cc_yieldSE,ctl_yield_kgha,ctl_yieldSE,NOTES
99,GN,9,Hoffman et al. 1993,1993,"Columbus, OH",OH,39.9612,-82.9988,split plot,4,962,31.82,0.8849,.,silt loam,.,hairy vetch,legume,Y,N,summer,8/28/1990,240,Aug,8,45,drilled,4/30/1991,May,120,rolling,M,corn,4/30/1991,April,4320,.,17,.,49,.,80,.,647,.,920,.,2840,.,
100,GN,9,Hoffman et al. 1993,1993,"Columbus, OH",OH,39.9612,-82.9988,split plot,4,962,31.82,0.8849,.,silt loam,.,hairy vetch,legume,Y,N,summer,8/28/1990,240,Aug,8,45,drilled,4/30/1991,June,120,chopping,M,corn,4/30/1991,April,3750,.,17,.,49,.,231,.,647,.,500,.,2840,.,
101,GN,9,Hoffman et al. 1993,1993,"Columbus, OH",OH,39.9612,-82.9988,split plot,4,962,31.82,0.8849,.,silt loam,.,hairy vetch,legume,Y,N,summer,8/28/1990,240,Aug,8,45,drilled,4/30/1991,July,120, mowing,M,corn,4/30/1991,April,2940,.,33,.,49,.,377,.,647,.,580,.,2840,.,
102,GN,9,Hoffman et al. 1993,1993,"Columbus, OH",OH,39.9612,-82.9988,split plot,4,962,31.82,0.8849,.,silt loam,.,hairy vetch,legume,Y,N,summer,8/28/1990,240,Aug,8,45,drilled,5/16/1991,May,120,herbicide,H,corn,5/16/1991,May,1960,.,46,.,49,.,663,.,647,.,720,.,2840,.,
103,GN,9,Hoffman et al. 1993,1993,"Columbus, OH",OH,39.9612,-82.9988,split plot,4,962,31.82,0.8849,.,silt loam,.,hairy vetch,legume,Y,N,summer,8/28/1990,240,Aug,8,45,drilled,5/16/1991,June,136,rolling,M,corn,5/16/1991,May,3180,.,27,.,34,.,90,.,152,.,3200,.,4130,.,
104,GN,9,Hoffman et al. 1993,1993,"Columbus, OH",OH,39.9612,-82.9988,split plot,4,962,31.82,0.8849,.,silt loam,.,hairy vetch,legume,Y,N,summer,8/28/1990,240,Aug,8,45,drilled,5/16/1991,July,136,chopping,M,corn,5/16/1991,May,3360,.,25,.,34,.,165,.,152,.,3660,.,4130,.,
105,GN,9,Hoffman et al. 1993,1993,"Columbus, OH",OH,39.9612,-82.9988,split plot,4,962,31.82,0.8849,.,silt loam,.,hairy vetch,legume,Y,N,summer,8/28/1990,240,Aug,8,45,drilled,5/16/1991,August,136, mowing,M,corn,5/16/1991,May,2250,.,18,.,34,.,79,.,152,.,3090,.,4130,.,
106,GN,9,Hoffman et al. 1993,1993,"Columbus, OH",OH,39.9612,-82.9988,split plot,4,962,31.82,0.8849,.,silt loam,.,hairy vetch,legume,Y,N,summer,8/28/1990,240,Aug,8,45,drilled,6/5/1991,June,136,herbicide,H,corn,6/5/1991,May,3620,.,19,.,34,.,137,.,152,.,3910,.,4130,.,
107,GN,9,Hoffman et al. 1993,1993,"Columbus, OH",OH,39.9612,-82.9988,split plot,4,962,31.82,0.8849,.,silt loam,.,hairy vetch,legume,Y,N,summer,8/28/1990,240,Aug,8,45,drilled,6/5/1991,July,156,rolling,M,corn,6/5/1991,May,3640,.,6,.,2,.,39,.,12,.,2410,.,3300,.,
108,GN,9,Hoffman et al. 1993,1993,"Columbus, OH",OH,39.9612,-82.9988,split plot,4,962,31.82,0.8849,.,silt loam,.,hairy vetch,legume,Y,N,summer,8/28/1990,240,Aug,8,45,drilled,6/5/1991,August,156,chopping,M,corn,6/5/1991,May,3290,.,12,.,2,.,147,.,12,.,2340,.,3300,.,
109,GN,9,Hoffman et al. 1993,1993,"Columbus, OH",OH,39.9612,-82.9988,split plot,4,962,31.82,0.8849,.,silt loam,.,hairy vetch,legume,Y,N,summer,8/28/1990,240,Aug,8,45,drilled,6/5/1991,September,156, mowing,M,corn,6/5/1991,May,3130,.,10,.,2,.,71,.,12,.,1670,.,3300,.,
110,GN,9,Hoffman et al. 1993,1993,"Columbus, OH",OH,39.9612,-82.9988,split plot,4,962,31.82,0.8849,.,silt loam,.,hairy vetch,legume,Y,N,summer,8/28/1990,240,Aug,8,45,drilled,6/6/1991,October,156,herbicide,H,corn,6/6/1991,May,3720,.,4,.,2,.,35,.,12,.,2830,.,3300,.,
111,DW,10,"Mock et al., 2012",2012,"West Lafayette, IN",IN,40.4259,-86.9081,RCBD split plot,6,930,31.52,0.8955,3,silt loam,6.3,winter wheat,grass,N,N,fall,.,.,Oct,10,67,drilled,5/1/2004,May,121,herbicide,H,corn/soy,5/10/2004,May,.,.,149,.,9,.,.,.,.,.,.,.,.,.,Data from Table 8. CC vs. spring applied herbicide
112,DW,10,"Mock et al., 2012",2012,"West Lafayette, IN",IN,40.4259,-86.9081,RCBD split plot,6,930,31.52,0.8955,3,silt loam,6.3,rye grass,grass,N,N,fall,.,.,Oct,10,34,broadcast,5/2/2004,May,121,herbicide,H,corn/soy,5/10/2004,May,.,.,332,.,9,.,.,.,.,.,.,.,.,.,They do not display treatment specific yield data
113,DW,10,"Mock et al., 2012",2012,"Vincennes, IN",IN,38.6773,-87.5286,RCBD split plot,6,1125,37.88,0.9642,1,silt loam,6.9,winter wheat,grass,N,N,fall,.,.,Oct,10,67,drilled,5/3/2004,May,121,herbicide,H,corn/soy,5/10/2004,May,.,.,377,.,77,.,.,.,.,.,.,.,.,.,
114,DW,10,"Mock et al., 2012",2012,"Vincennes, IN",IN,38.6773,-87.5286,RCBD split plot,6,1125,37.88,0.9642,1,silt loam,6.9,rye grass,grass,N,N,fall,.,.,Oct,10,34,broadcast,5/4/2004,May,121,herbicide,H,corn/soy,5/10/2004,May,.,.,393,.,77,.,.,.,.,.,.,.,.,.,measured weeds in fall and spring - but we only have data for fall/winter annual weeds
115,DW,11,"Werle et al., 2017",2017,"North Platte, NE",NE,41.132511,-100.763969,RCBD,3,501,15.12,0.4388,.,silt loam,.,rye,grass,Y,N,spring,10/17/2016,291,Oct,10,67,drilled,4/18/2017,April,,herbicide,H,corn,.,.,3766,201,17,5,196,25,10,4,115,11,.,.,.,.,No issues
116,DW,11,"Werle et al., 2017",2017,"North Platte, NE",NE,41.132511,-100.763969,RCBD,3,501,15.12,0.4388,.,sandy loam,.,rye,grass,Y,N,spring,9/20/2016,264,Sept,9,94.1,drilled,4/18/2017,April,,herbicide,H,corn,.,.,4081,322,.,.,.,.,19,5,407,39,.,.,.,.,
117,DW,12,"Crawford et al., 2018",2018,"Urbana, IL",IL,40.076623,-88.239866,RCBD split-plot,3,1016,33.9,0.9116,3.4,silt loam,5.9,radish,brassica,N,N,summer,.,.,.,.,.,drilled,.,.,.,winterkill,W,soybean,.,.,43,438,113.4,.,96,.,1164,.,1554,.,.,.,.,.,Planting dates are for 3 site-years - response variables are averages. 
118,DW,12,"Crawford et al., 2018",2018,"Urbana, IL",IL,40.076623,-88.239866,RCBD split-plot,3,1016,33.9,0.9116,3.4,silt loam,5.9,canola,brassica,N,N,summer,.,.,.,.,.,drilled,.,.,.,herbicide,H,soybean,.,.,43,1205,146.2,.,96,.,983,.,1554,.,.,.,.,.,
119,DW,12,"Crawford et al., 2018",2018,"Urbana, IL",IL,40.076623,-88.239866,RCBD split-plot,3,1016,33.9,0.9116,3.4,silt loam,5.9,canola,brassica,N,N,summer,.,.,.,.,.,drilled,.,.,.,herbicide,H,soybean,.,.,43,2375,77.7,.,96,.,226,.,1554,.,.,.,.,.,
120,DW,12,"Crawford et al., 2018",2018,"Urbana, IL",IL,40.076623,-88.239866,RCBD split-plot,3,1016,33.9,0.9116,3.4,silt loam,5.9,rye,grass,N,N,summer,.,.,.,.,.,drilled,.,.,.,herbicide,H,soybean,.,.,43,2360,170.8,.,96,.,548,.,1554,.,.,.,.,.,
121,DW,12,"Crawford et al., 2018",2018,"Urbana, IL",IL,40.076623,-88.239866,RCBD split-plot,3,1016,33.9,0.9116,3.4,silt loam,5.9,rye,grass,N,N,summer,.,.,.,.,.,drilled,.,.,.,herbicide,H,soybean,.,.,43,9003,7.3,.,96,.,104,.,1554,.,.,.,.,.,
122,DW,13,"Cornelius and Bradley, ",2017,"Columbia, Missouri",MO,38.89805556,-92.37055556,RCBD,4,.,.,.,2.2,silt loam,6.4,austrian winter pea,legume,N,N,spring,.,.,Sept,9,56,drilled,4/30/2014,April,120,herbicide,H,soybean,.,.,223,.,1307,.,987,.,.,.,.,.,.,.,.,.,
123,DW,13,"Cornelius and Bradley, ",2017,"Columbia, Missouri",MO,38.89805556,-92.37055556,RCBD,4,.,.,.,2.2,silt loam,6.4,hairy vetch,legume,N,N,spring,.,.,Sept,9,34,drilled,4/30/2014,April,120,herbicide,H,soybean,.,.,815,.,1282,.,987,.,.,.,.,.,.,.,.,.,Right now we have columbia and moberley separate (map purposes) but the data is pooled for one location
124,DW,13,"Cornelius and Bradley, ",2017,"Columbia, Missouri",MO,38.89805556,-92.37055556,RCBD,4,.,.,.,2.2,silt loam,6.4,crimson clover,legume,N,N,spring,.,.,Sept,9,34,drilled,4/30/2014,April,120,herbicide,H,soybean,.,.,436,.,1268,.,987,.,.,.,.,.,.,.,.,.,not going to include the climate data for this study because of the way the data is pooled
125,DW,13,"Cornelius and Bradley, ",2017,"Columbia, Missouri",MO,38.89805556,-92.37055556,RCBD,4,.,.,.,2.2,silt loam,6.4,oilseed radish,brassica,N,N,spring,.,.,Sept,9,9,drilled,4/30/2014,April,120,herbicide,H,soybean,.,.,0,.,1267,.,987,.,.,.,.,.,.,.,.,.,ALSO what is possible with cc biomass? i.e. take avgs or NOT?
126,DW,13,"Cornelius and Bradley, ",2017,"Columbia, Missouri",MO,38.89805556,-92.37055556,RCBD,4,.,.,.,2.2,silt loam,6.4,winter oat,grass,N,N,spring,.,.,Sept,9,78,drilled,4/30/2014,April,120,herbicide,H,soybean,.,.,135,.,1218,.,987,.,.,.,.,.,.,.,.,.,"control = ""Spring PRE w/o residual herbicide program (Figs. 2-5)"
127,DW,13,"Cornelius and Bradley, ",2017,"Moberly, Missouri",MO,39.418369,-92.438237,RCBD,4,.,.,.,2.2,silt loam,6.4,italian ryegrass,grass,N,N,spring,.,.,Sept,9,28,drilled,4/30/2014,April,120,herbicide,H,soybean,.,.,953,.,1076,.,987,.,.,.,.,.,.,.,.,.,
128,DW,13,"Cornelius and Bradley, ",2017,"Moberly, Missouri",MO,39.418369,-92.438237,RCBD,4,.,.,.,2.2,silt loam,6.4,cereal rye + hairy vetch,mix,N,N,spring,.,.,Sept,9,112,drilled,4/30/2014,April,120,herbicide,H,soybean,.,.,2774,.,925,.,987,.,.,.,.,.,.,.,.,.,this cc planting rate is the sum of the mix which included hairy vetch + rye
129,DW,13,"Cornelius and Bradley, ",2017,"Moberly, Missouri",MO,39.418369,-92.438237,RCBD,4,.,.,.,2.2,silt loam,6.4,cereal rye,grass,N,N,spring,.,.,Sept,9,123,drilled,4/30/2014,April,120,herbicide,H,soybean,.,.,2291,.,705,.,987,.,.,.,.,.,.,.,.,.,
130,DW,13,"Cornelius and Bradley, ",2017,"Moberly, Missouri",MO,39.418369,-92.438237,RCBD,4,.,.,.,2.2,silt loam,6.4,winter wheat,grass,N,N,spring,.,.,Sept,9,135,drilled,4/30/2014,April,120,herbicide,H,soybean,.,.,1424,.,1132,.,987,.,.,.,.,.,.,.,.,.,
131,DW,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",KS,37.989331,-100.814511,RCBD,5,493,17.34,0.3698,1.5,silt loam,7,winter wheat,grass,N,N,summer,.,.,Oct,10,100,drilled,.,May,.,herbicide,H,corn,.,May,.,.,.,.,.,.,330.1,.,380,.,.,.,.,.,
132,DW,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",KS,37.989331,-100.814511,RCBD,5,493,17.34,0.3698,1.5,silt loam,7,winter wheat,grass,N,N,summer,.,.,Oct,10,100,drilled,.,May,.,herbicide,H,corn,.,May,.,.,.,.,.,.,194.6,.,328.1,.,.,.,.,.,
133,DW,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",KS,37.989331,-100.814511,RCBD,5,493,17.34,0.3698,1.5,silt loam,7,winter wheat,grass,N,N,summer,.,.,Oct,10,100,drilled,.,May,.,herbicide,H,corn,.,May,.,.,.,.,.,.,188.5,.,206.7,.,.,.,.,.,
134,DW,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",KS,37.989331,-100.814511,RCBD,5,493,17.34,0.3698,1.7,silt loam,8.3,winter wheat,grass,N,N,summer,.,.,Oct,10,100,drilled,.,May,.,herbicide,H,corn,.,May,.,.,.,.,.,.,206,.,290,.,.,.,.,.,
135,DW,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",KS,37.989331,-100.814511,RCBD,5,493,17.34,0.3698,1.7,silt loam,8.3,winter wheat,grass,N,N,summer,.,.,Oct,10,100,drilled,.,May,.,herbicide,H,corn,.,May,.,.,.,.,.,.,142.4,.,150.8,.,.,.,.,.,
136,DW,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",KS,37.989331,-100.814511,RCBD,5,493,17.34,0.3698,1.7,silt loam,8.3,winter wheat,grass,N,N,summer,.,.,Oct,10,100,drilled,.,May,.,herbicide,H,corn,.,May,.,.,.,.,.,.,571.5,.,599.2,.,.,.,.,.,
137,DW,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",KS,37.989331,-100.814511,RCBD,5,493,17.34,0.3698,1.6,silt loam,8.3,winter wheat,grass,N,N,summer,.,.,Oct,10,100,drilled,.,May,.,herbicide,H,corn,.,May,.,.,.,.,.,.,57.7,.,24.2,.,.,.,.,.,
138,DW,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",KS,37.989331,-100.814511,RCBD,5,493,17.34,0.3698,1.6,silt loam,8.3,winter wheat,grass,N,N,summer,.,.,Oct,10,100,drilled,.,May,.,herbicide,H,corn,.,May,.,.,.,.,.,.,603.2,.,869.1,.,.,.,.,.,
139,DW,14,"Currie and Klocke, 2005",2005,"Garden City, Kansas",KS,37.989331,-100.814511,RCBD,5,493,17.34,0.3698,1.6,silt loam,8.3,winter wheat,grass,N,N,summer,.,.,Oct,10,100,drilled,.,May,.,herbicide,H,corn,.,May,.,.,.,.,.,.,603.1,.,691.4,.,.,.,.,.,
140,DW,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",NE,41.145575,-96.498209,split plot,3,800,25.81,0.7149,2.6,silty clay loam,6.3,barley,grass,N,N,summer,9/7/1994,250,Sept,9,78.4,drilled,6/6/1995,June,157,herbicide,H,soybean,6/7/1995,June,3170,.,.,.,.,.,27.6,.,68,.,1630,.,2060,.,"Yield data taken from Williams et al., 2000 (companion paper)"
141,DW,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",NE,41.145575,-96.498209,split plot,3,800,25.81,0.7149,2.6,silty clay loam,6.3,rye,grass,N,N,summer,9/7/1994,250,Sept,9,78.4,drilled,6/6/1995,June,157,herbicide,H,soybean,6/7/1995,June,6310,.,.,.,.,.,30.9,.,68,.,1540,.,2060,.,Weed biomass = only Setaria spp. Table 2
142,DW,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",NE,41.145575,-96.498209,split plot,3,800,25.81,0.7149,2.6,silty clay loam,6.3,triticale,grass,N,N,summer,9/7/1994,250,Sept,9,156.4,drilled,6/6/1995,June,157,herbicide,H,soybean,6/7/1995,June,7160,.,.,.,.,.,32.1,.,68,.,1800,.,2060,.,"Weed density = Setaria + amaranthus spp. Fig. 2 (40 DAP), Setaria only data in parenthesis"
143,DW,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",NE,41.145575,-96.498209,split plot,3,800,25.81,0.7149,2.6,silty clay loam,6.3,wheat,grass,N,N,summer,9/7/1994,250,Sept,9,78.4,drilled,6/6/1995,June,157,herbicide,H,soybean,6/7/1995,June,6710,.,.,.,.,.,14.6,.,68,.,1920,.,2060,.,let's discuss above
144,DW,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",NE,41.145575,-96.498209,split plot,3,800,25.81,0.7149,2.8,silty clay loam,5.8,barley,grass,N,N,summer,9/7/1995,250,Sept,9,78.4,drilled,5/23/1996,May,144,herbicide,H,soybean,5/21/1996,May,130,.,78,.,71,.,13.4,.,21.4,.,1480,.,1200,.,This would be a good one to double check weed measurement timing on
145,DW,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",NE,41.145575,-96.498209,split plot,3,800,25.81,0.7149,2.8,silty clay loam,5.8,rye,grass,N,N,summer,9/7/1995,250,Sept,9,78.4,drilled,5/23/1996,May,144,herbicide,H,soybean,5/21/1996,May,2890,.,74,.,71,.,0.7,.,21.4,.,2190,.,1200,.,
146,DW,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",NE,41.145575,-96.498209,split plot,3,800,25.81,0.7149,2.8,silty clay loam,5.8,triticale,grass,N,N,summer,9/7/1995,250,Sept,9,78.4,drilled,5/23/1996,May,144,herbicide,H,soybean,5/21/1996,May,750,.,73,.,71,.,9.6,.,21.4,.,1440,.,1200,.,
147,DW,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",NE,41.145575,-96.498209,split plot,3,800,25.81,0.7149,2.8,silty clay loam,5.8,wheat,grass,N,N,summer,9/7/1995,250,Sept,9,78.4,drilled,5/23/1996,May,144,herbicide,H,soybean,5/21/1996,May,2170,.,90,.,71,.,3.5,.,21.4,.,1960,.,1200,.,
148,DW,15,"Williams et al., 1998",1998,"Ithaca, Nebraska",NE,41.145575,-96.498209,split plot,3,800,25.81,0.7149,2.8,silty clay loam,5.8,vetch,legume,N,N,summer,9/7/1995,250,Sept,9,35.8,drilled,5/23/1996,May,144,herbicide,H,soybean,5/21/1996,May,650,.,99,.,71,.,8.7,.,21.4,.,1700,.,1200,.,
