obs_no,study,pub_reference,pub_year,loc_state,lat,long,reps,wgt,aridity_index,OM_pct,soil_type,cc_type,cc_type2,cropsys_tillage,msmt_season,msmt_planting,weed_group,ccpl_den_kgha,ccpl_lubdate,ccpl_doy,cc_pest,ccterm_lubdate,ccterm_doy,cc_termest,ccterm_meth,crop_follow,crop_pest,croppl_lubdate,croppl_doy,cc_bio_kgha,cc_growdays,termgap_days,bioLRR,denLRR,yieldLRR,cc_bio_Mgha
80,6,Delate et al. 2012,2012,IA,41.30317,-94.45955,4,2,0.8276,NA,silty clay loam,mix,non-grass,Y,summer,after,summer annual,84,2018-10-31,304,NA,2019-05-25,145,NA,M,corn,NA,2019-05-25,145,NA,206,0,NA,1.13599982073973,-2.497457762341226,NA
81,6,Delate et al. 2012,2012,IA,41.30317,-94.45955,4,2,0.8276,NA,silty clay loam,mix,non-grass,N,summer,after,summer annual,108,2018-10-31,304,NA,2019-05-25,145,NA,M,corn,NA,2019-05-25,145,NA,206,0,NA,2.2003941520974983,-2.5163857722267444,NA
82,7,"Gallagher et al., 2003",2003,OH,40.8051,-81.9351,4,2,0.9375,2.9,silt loam,grass,grass,N,summer,after,summer annual,100,2018-09-15,258,Y,NA,NA,NA,H,soybean,NA,2019-05-11,131,3400,NA,NA,-0.11332868530700312,NA,0.2451224580329849,3.4
83,7,"Gallagher et al., 2003",2003,OH,40.8051,-81.9351,4,2,0.9375,2.9,silt loam,grass,grass,N,summer,after,summer annual,100,2018-09-15,258,Y,NA,NA,NA,H,soybean,NA,2019-05-05,125,3500,NA,NA,-0.07145896398214498,NA,0.20763936477824455,3.5
84,7,"Gallagher et al., 2003",2003,OH,40.8051,-81.9351,4,2,0.9375,2.9,silt loam,legume,non-grass,N,summer,after,summer annual,22,2018-08-15,227,Y,NA,NA,NA,H,corn,NA,2019-04-20,110,4500,NA,NA,0.1758906664636642,NA,-0.1261512853269,4.5
85,7,"Gallagher et al., 2003",2003,OH,40.8051,-81.9351,4,2,0.9375,2.9,silt loam,legume,non-grass,N,summer,after,summer annual,22,2018-08-15,227,Y,NA,NA,NA,H,corn,NA,2019-04-25,115,4100,NA,NA,1.1786549963416462,NA,0.05715841383994862,4.1
86,8,"Gieske et al., 2016",2016,MN,45.25,-95.2647,4,2,0.6486,NA,silt loam,brassica,non-grass,Y,summer,after,summer annual,19,2018-08-18,230,NA,NA,NA,NA,none,corn,NA,2019-06-07,158,3831,NA,NA,NA,0.008298802814695064,-0.02150620522096362,3.831
87,8,"Gieske et al., 2016",2016,MN,45.25,-95.2647,4,2,0.6486,NA,silt loam,brassica,non-grass,Y,summer,after,summer annual,19,2018-08-23,235,NA,NA,NA,NA,none,corn,NA,2019-05-22,142,3019,NA,NA,NA,0.3364722366212129,-0.008968669982760375,3.019
88,8,"Gieske et al., 2016",2016,MN,44.72,-93.11223,4,2,0.8367,NA,loam,brassica,non-grass,Y,summer,after,summer annual,19,2018-08-19,231,NA,NA,NA,NA,none,corn,NA,2019-05-26,146,2612,NA,NA,NA,0.6931471805599453,0.0870113769896297,2.612
89,8,"Gieske et al., 2016",2016,MN,44.72,-93.11223,4,2,0.8367,NA,loam,brassica,non-grass,Y,summer,after,summer annual,19,2018-08-19,231,NA,NA,NA,NA,none,corn,NA,2019-05-16,136,2767,NA,NA,NA,0.1112256351102244,-0.018868484304382805,2.767
90,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-04-27,117,NA,M,corn,NA,2019-04-27,117,8130,242,0,-2.5466840094842436,-1.6341305250244718,-5.498192290922892,8.13
91,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-04-27,117,NA,M,corn,NA,2019-04-27,117,5430,242,0,-0.3894647667617233,-0.49469624183610705,-1.1807041773865816,5.43
92,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-05-24,144,NA,M,corn,NA,2019-05-24,144,3410,269,0,-0.3692620594442038,0.19845093872383823,-0.1973780441762683,3.41
93,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-05-24,144,NA,M,corn,NA,2019-05-24,144,4830,269,0,-0.8735288725360734,-0.7537718023763802,-0.11501234485728512,4.83
94,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-05-24,144,NA,M,corn,NA,2019-05-24,144,3510,269,0,0.2173012756899813,-0.39086630868701167,-0.22577551657095207,3.51
95,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-06-18,169,NA,H,corn,NA,2019-06-18,169,3180,294,0,-0.9711673420999893,-0.5819215454497209,-0.10587986129401256,3.18
96,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-06-18,169,NA,M,corn,NA,2019-06-18,169,4960,294,0,-0.06899287148695143,-1.3862943611198906,0.346643630522196,4.96
97,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-06-18,169,NA,M,corn,NA,2019-06-18,169,6470,294,0,-1.6094379124341003,-1.0498221244986778,0.10536051565782635,6.47
98,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-04-30,120,NA,H,corn,NA,2019-04-30,120,4680,245,0,-0.35667494393873245,-1.2039728043259361,0.05851760689775151,4.68
99,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-04-30,120,NA,M,corn,NA,2019-04-30,120,4320,245,0,-2.090319659827019,-1.0586069540544105,-1.1271856611121658,4.32
100,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-04-30,120,NA,M,corn,NA,2019-04-30,120,3750,245,0,-1.029928583979107,-1.0586069540544105,-1.73695123273306,3.75
101,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-04-30,120,NA,M,corn,NA,2019-04-30,120,2940,245,0,-0.5401011070528898,-0.3953127366441464,-1.5885312276147867,2.94
102,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-05-16,136,NA,H,corn,NA,2019-05-16,136,1960,261,0,0.024428695684961865,-0.06317890162153156,-1.3723081191451507,1.96
103,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-05-16,136,NA,M,corn,NA,2019-05-16,136,3180,261,0,-0.5240708505160114,-0.23052365861183238,-0.25512659716726055,3.18
104,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-05-16,136,NA,M,corn,NA,2019-05-16,136,3360,261,0,0.08206495305430421,-0.30748469974796055,-0.12081425955966647,3.36
105,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-05-16,136,NA,M,corn,NA,2019-05-16,136,2250,261,0,-0.6544326683792548,-0.6359887667199967,-0.29010631606328724,2.25
106,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-06-05,156,NA,H,corn,NA,2019-05-05,125,3620,281,-31,-0.1038995950181515,-0.5819215454497209,-0.054740032975666986,3.62
107,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-06-05,156,NA,M,corn,NA,2019-05-05,125,3640,281,-31,1.1786549963416462,1.0986122886681098,-0.31429572096987085,3.64
108,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-06-05,156,NA,M,corn,NA,2019-05-05,125,3290,281,-31,2.505525936990736,1.791759469228055,-0.3437715391028245,3.29
109,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-06-05,156,NA,M,corn,NA,2019-05-05,125,3130,281,-31,1.777773227253315,1.6094379124341003,-0.6810988420437707,3.13
110,9,Hoffman et al. 1993,1993,OH,39.9612,-82.9988,4,2,0.8849,NA,silt loam,legume,non-grass,Y,summer,after,summer annual,45,2018-08-28,240,NA,2019-06-06,157,NA,H,corn,NA,2019-05-06,126,3720,282,-31,1.0704414117014134,0.6931471805599453,-0.15364575681728831,3.72
111,10,"Mock et al., 2012",2012,IN,40.4259,-86.9081,6,3,0.8955,3,silt loam,grass,grass,N,fall,after,winter annual,67,2018-10-15,288,Y,2019-05-01,121,NA,H,corn/soy,NA,2019-05-10,130,NA,198,9,NA,2.80672172860924,NA,NA
112,10,"Mock et al., 2012",2012,IN,40.4259,-86.9081,6,3,0.8955,3,silt loam,grass,grass,N,fall,after,winter annual,34,2018-10-15,288,Y,2019-05-02,122,NA,H,corn/soy,NA,2019-05-10,130,NA,199,8,NA,3.607910391580269,NA,NA
113,10,"Mock et al., 2012",2012,IN,38.6773,-87.5286,6,3,0.9642,1,silt loam,grass,grass,N,fall,after,winter annual,67,2018-10-15,288,Y,2019-05-03,123,NA,H,corn/soy,NA,2019-05-10,130,NA,200,7,NA,1.588439765594327,NA,NA
114,10,"Mock et al., 2012",2012,IN,38.6773,-87.5286,6,3,0.9642,1,silt loam,grass,grass,N,fall,after,winter annual,34,2018-10-15,288,Y,2019-05-04,124,NA,H,corn/soy,NA,2019-05-10,130,NA,201,6,NA,1.6300041900155775,NA,NA
115,11,"Werle et al., 2017",2017,NE,41.132511,-100.763969,3,1.5,0.4388,NA,silt loam,grass,grass,Y,spring,before,winter annual,67,2018-10-17,290,NA,2019-04-18,108,NA,H,corn,NA,NA,NA,3766,183,NA,-2.4423470353692043,-2.444901315174301,NA,3.766
116,11,"Werle et al., 2017",2017,NE,41.132511,-100.763969,3,1.5,0.4388,NA,sandy loam,grass,grass,Y,spring,before,winter annual,94.1,2018-09-20,263,NA,2019-04-18,108,NA,H,corn,NA,NA,NA,4081,210,NA,-3.0643742062761548,NA,NA,4.081
117,12,"Crawford et al., 2018",2018,IL,40.076623,-88.239866,3,1.5,0.9116,3.4,silt loam,brassica,non-grass,N,summer,after,summer annual,NA,NA,NA,NA,NA,NA,NA,W,soybean,NA,NA,NA,438,NA,NA,-0.2889699026362097,0.16657319982581556,NA,0.438
118,12,"Crawford et al., 2018",2018,IL,40.076623,-88.239866,3,1.5,0.9116,3.4,silt loam,brassica,non-grass,N,summer,after,summer annual,NA,NA,NA,NA,NA,NA,NA,H,soybean,NA,NA,NA,1205,NA,NA,-0.4579784107804262,0.4206273558478418,NA,1.205
119,12,"Crawford et al., 2018",2018,IL,40.076623,-88.239866,3,1.5,0.9116,3.4,silt loam,grass,grass,N,summer,after,summer annual,NA,NA,NA,NA,NA,NA,NA,H,soybean,NA,NA,NA,2375,NA,NA,-1.9280525316553068,-0.2114929340942344,NA,2.375
120,12,"Crawford et al., 2018",2018,IL,40.076623,-88.239866,3,1.5,0.9116,3.4,silt loam,brassica,non-grass,N,summer,after,summer annual,NA,NA,NA,NA,NA,NA,NA,H,soybean,NA,NA,NA,2360,NA,NA,-1.0423122439795771,0.5761450898866333,NA,2.36
121,12,"Crawford et al., 2018",2018,IL,40.076623,-88.239866,3,1.5,0.9116,3.4,silt loam,grass,grass,N,summer,after,summer annual,NA,NA,NA,NA,NA,NA,NA,H,soybean,NA,NA,NA,9003,NA,NA,-2.7041966317862203,-2.576473843313491,NA,9.003
122,13,"Cornelius and Bradley,",2017,MO,38.89805556,-92.37055556,4,2,0.8625,2.2,silt loam,legume,non-grass,N,spring,before,summer annual,56,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,223,227,NA,NA,0.2808196741907403,NA,0.223
123,13,"Cornelius and Bradley,",2017,MO,38.89805556,-92.37055556,4,2,0.8625,2.2,silt loam,legume,non-grass,N,spring,before,summer annual,34,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,815,227,NA,NA,0.2615065980471337,NA,0.815
124,13,"Cornelius and Bradley,",2017,MO,38.89805556,-92.37055556,4,2,0.8625,2.2,silt loam,legume,non-grass,N,spring,before,summer annual,34,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,436,227,NA,NA,0.2505260955636896,NA,0.436
125,13,"Cornelius and Bradley,",2017,MO,38.89805556,-92.37055556,4,2,0.8625,2.2,silt loam,brassica,non-grass,N,spring,before,summer annual,9,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,0,227,NA,NA,0.24973714088765744,NA,0
126,13,"Cornelius and Bradley,",2017,MO,38.89805556,-92.37055556,4,2,0.8625,2.2,silt loam,grass,grass,N,spring,before,summer annual,78,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,135,227,NA,NA,0.21029540883636075,NA,0.135
127,13,"Cornelius and Bradley,",2017,MO,39.418369,-92.438237,4,2,0.916,2.2,silt loam,grass,grass,N,spring,before,summer annual,28,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,953,227,NA,NA,0.08633570128824804,NA,0.953
128,13,"Cornelius and Bradley,",2017,MO,39.418369,-92.438237,4,2,0.916,2.2,silt loam,mix,non-grass,N,spring,before,summer annual,112,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,2774,227,NA,NA,-0.06487630192105642,NA,2.774
129,13,"Cornelius and Bradley,",2017,MO,39.418369,-92.438237,4,2,0.916,2.2,silt loam,grass,grass,N,spring,before,summer annual,123,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,2291,227,NA,NA,-0.3364722366212129,NA,2.291
130,13,"Cornelius and Bradley,",2017,MO,39.418369,-92.438237,4,2,0.916,2.2,silt loam,grass,grass,N,spring,before,summer annual,135,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,1424,227,NA,NA,0.13707121932964664,NA,1.424
131,14,"Currie and Klocke, 2005",2005,KS,37.989331,-100.814511,5,2.5,0.3698,1.5,silt loam,grass,grass,N,summer,after,summer annual,100,2018-10-15,288,Y,2019-05-01,121,Y,H,corn,Y,2019-05-30,150,NA,198,29,-0.14077561386128407,NA,NA,NA
132,14,"Currie and Klocke, 2005",2005,KS,37.989331,-100.814511,5,2.5,0.3698,1.5,silt loam,grass,grass,N,summer,after,summer annual,100,2018-10-15,288,Y,2019-05-01,121,Y,H,corn,Y,2019-05-30,150,NA,198,29,-0.5223722702151513,NA,NA,NA
133,14,"Currie and Klocke, 2005",2005,KS,37.989331,-100.814511,5,2.5,0.3698,1.5,silt loam,grass,grass,N,summer,after,summer annual,100,2018-10-15,288,Y,2019-05-01,121,Y,H,corn,Y,2019-05-30,150,NA,198,29,-0.0921704597996571,NA,NA,NA
134,14,"Currie and Klocke, 2005",2005,KS,37.989331,-100.814511,5,2.5,0.3698,1.7,silt loam,grass,grass,N,summer,after,summer annual,100,2018-10-15,288,Y,2019-05-01,121,Y,H,corn,Y,2019-05-30,150,NA,198,29,-0.3420047541909387,NA,NA,NA
135,14,"Currie and Klocke, 2005",2005,KS,37.989331,-100.814511,5,2.5,0.3698,1.7,silt loam,grass,grass,N,summer,after,summer annual,100,2018-10-15,288,Y,2019-05-01,121,Y,H,corn,Y,2019-05-30,150,NA,198,29,-0.05731445659598031,NA,NA,NA
136,14,"Currie and Klocke, 2005",2005,KS,37.989331,-100.814511,5,2.5,0.3698,1.7,silt loam,grass,grass,N,summer,after,summer annual,100,2018-10-15,288,Y,2019-05-01,121,Y,H,corn,Y,2019-05-30,150,NA,198,29,-0.04733094896814443,NA,NA,NA
137,14,"Currie and Klocke, 2005",2005,KS,37.989331,-100.814511,5,2.5,0.3698,1.6,silt loam,grass,grass,N,summer,after,summer annual,100,2018-10-15,288,Y,2019-05-01,121,Y,H,corn,Y,2019-05-30,150,NA,198,29,0.8689045403514133,NA,NA,NA
138,14,"Currie and Klocke, 2005",2005,KS,37.989331,-100.814511,5,2.5,0.3698,1.6,silt loam,grass,grass,N,summer,after,summer annual,100,2018-10-15,288,Y,2019-05-01,121,Y,H,corn,Y,2019-05-30,150,NA,198,29,-0.365209376749668,NA,NA,NA
139,14,"Currie and Klocke, 2005",2005,KS,37.989331,-100.814511,5,2.5,0.3698,1.6,silt loam,grass,grass,N,summer,after,summer annual,100,2018-10-15,288,Y,2019-05-01,121,Y,H,corn,Y,2019-05-30,150,NA,198,29,-0.13663550703058294,NA,NA,NA
140,15,"Williams et al., 1998",1998,NE,41.145575,-96.498209,3,1.5,0.7149,2.6,silty clay loam,grass,grass,N,summer,after,summer annual,78.4,2018-09-07,250,NA,2019-06-06,157,NA,H,soybean,NA,2019-06-07,158,3170,272,1,-0.9016919324530024,NA,-0.23412596798281876,3.17
141,15,"Williams et al., 1998",1998,NE,41.145575,-96.498209,3,1.5,0.7149,2.6,silty clay loam,grass,grass,N,summer,after,summer annual,78.4,2018-09-07,250,NA,2019-06-06,157,NA,H,soybean,NA,2019-06-07,158,6310,272,1,-0.7887515212724069,NA,-0.2909235663759519,6.31
142,15,"Williams et al., 1998",1998,NE,41.145575,-96.498209,3,1.5,0.7149,2.6,silty clay loam,grass,grass,N,summer,after,summer annual,156.4,2018-09-07,250,NA,2019-06-06,157,NA,H,soybean,NA,2019-06-07,158,7160,272,1,-0.7506516750401364,NA,-0.13491931789937076,7.16
143,15,"Williams et al., 1998",1998,NE,41.145575,-96.498209,3,1.5,0.7149,2.6,silty clay loam,grass,grass,N,summer,after,summer annual,78.4,2018-09-07,250,NA,2019-06-06,157,NA,H,soybean,NA,2019-06-07,158,6710,272,1,-1.538486176461816,NA,-0.0703807967617995,6.71
144,15,"Williams et al., 1998",1998,NE,41.145575,-96.498209,3,1.5,0.7149,2.8,silty clay loam,grass,grass,N,summer,after,summer annual,78.4,2018-09-07,250,NA,2019-05-23,143,NA,H,soybean,NA,2019-05-21,141,130,258,-2,-0.46813621507094,0.09402894964827639,0.2097205309820691,0.13
145,15,"Williams et al., 1998",1998,NE,41.145575,-96.498209,3,1.5,0.7149,2.8,silty clay loam,grass,grass,N,summer,after,summer annual,78.4,2018-09-07,250,NA,2019-05-23,143,NA,H,soybean,NA,2019-05-21,141,2890,258,-2,-3.420065865966538,0.04138521616285428,0.6015799870344548,2.89
146,15,"Williams et al., 1998",1998,NE,41.145575,-96.498209,3,1.5,0.7149,2.8,silty clay loam,grass,grass,N,summer,after,summer annual,78.4,2018-09-07,250,NA,2019-05-23,143,NA,H,soybean,NA,2019-05-21,141,750,258,-2,-0.8016278235540153,0.02777956410707567,0.1823215567939546,0.75
147,15,"Williams et al., 1998",1998,NE,41.145575,-96.498209,3,1.5,0.7149,2.8,silty clay loam,grass,grass,N,summer,after,summer annual,78.4,2018-09-07,250,NA,2019-05-23,143,NA,H,soybean,NA,2019-05-21,141,2170,258,-2,-1.8106279535324377,0.2371297932889497,0.4906229164484712,2.17
148,15,"Williams et al., 1998",1998,NE,41.145575,-96.498209,3,1.5,0.7149,2.8,silty clay loam,legume,non-grass,N,summer,after,summer annual,35.8,2018-09-07,250,NA,2019-05-23,143,NA,H,soybean,NA,2019-05-21,141,650,258,-2,-0.9000678963672678,0.33243997309327444,0.3483066942682158,0.65
149,13,"Cornelius and Bradley,",2017,MO,38.89805556,-92.37055556,4,2,NA,2.2,silt loam,legume,non-grass,N,spring,before,winter annual,56,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,NA,227,NA,NA,-0.42241466642193765,NA,NA
150,13,"Cornelius and Bradley,",2017,MO,38.89805556,-92.37055556,4,2,NA,2.2,silt loam,legume,non-grass,N,spring,before,winter annual,34,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,NA,227,NA,NA,-0.3602828853149315,NA,NA
151,13,"Cornelius and Bradley,",2017,MO,38.89805556,-92.37055556,4,2,NA,2.2,silt loam,legume,non-grass,N,spring,before,winter annual,34,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,NA,227,NA,NA,-0.273773642405649,NA,NA
152,13,"Cornelius and Bradley,",2017,MO,38.89805556,-92.37055556,4,2,NA,2.2,silt loam,brassica,non-grass,N,spring,before,winter annual,9,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,NA,227,NA,NA,-0.25733491606248904,NA,NA
153,13,"Cornelius and Bradley,",2017,MO,38.89805556,-92.37055556,4,2,NA,2.2,silt loam,grass,grass,N,spring,before,winter annual,78,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,NA,227,NA,NA,-0.4549908368565504,NA,NA
154,13,"Cornelius and Bradley,",2017,MO,39.418369,-92.438237,4,2,NA,2.2,silt loam,grass,grass,N,spring,before,winter annual,28,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,NA,227,NA,NA,-0.7627404723591406,NA,NA
155,13,"Cornelius and Bradley,",2017,MO,39.418369,-92.438237,4,2,NA,2.2,silt loam,mix,non-grass,N,spring,before,winter annual,112,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,NA,227,NA,NA,-1.1682055804673048,NA,NA
156,13,"Cornelius and Bradley,",2017,MO,39.418369,-92.438237,4,2,NA,2.2,silt loam,grass,grass,N,spring,before,winter annual,123,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,NA,227,NA,NA,-1.2675780542805086,NA,NA
157,13,"Cornelius and Bradley,",2017,MO,39.418369,-92.438237,4,2,NA,2.2,silt loam,grass,grass,N,spring,before,winter annual,135,2018-09-15,258,Y,2019-04-30,120,NA,H,soybean,NA,NA,NA,NA,227,NA,NA,-0.7186804825651101,NA,NA
